"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EJ24K7FH","journalArticle","2020","liu, youbin; Liu, Dehui; Song, Huafeng; chen, Chunlin; lv, Mingfang; pei, Xing; Hu, Zhongwei; Qin, Zhihui; Li, Jinglong","Clinical features and outcomes of 2019 novel coronavirus-infected patients with high plasma BNP levels","medRxiv","","","10.1101/2020.03.31.20047142","http://medrxiv.org/content/early/2020/04/02/2020.03.31.20047142.abstract","Aims To explore clinical features and outcome of 2019 novel coronavirus(2019-nCoV)-infected patients with high BNP levels Methods and results Data were collected from patients medical records, and we defined high BNP according to the plasma BNP was above &gt; 100 pg/mL. In total,34 patients with corona virus disease 2019(COVID-19)were included in the analysis. Ten patients had high plasma BNP level. The median age for these patients was 60.5 years (interquartile range, 40-80y), and 6/10 (60%) were men. Underlying comorbidities in some patients were coronary heart disease (n=2, 20%) ;hypertesion(n=3;30%);, heart failure (n=1,10%)and diabetes (n=2, 20%). Six (60%) patients had a history of Wuhan exposure. The most common symptoms at illness onset in patients were fever (n=7, 70%), cough (n=3, 30%), headache or fatigue(n=4,40%);. These patients had higher aspartate aminotransferase(AST), troponin I, C reactive protein and lower hemoglobin, and platelet count,compared with patients with normal BNP, respectively. Compared with patients with normal BNP, patients with high BNP were more likely to develop severe pneumonia, and receive tracheal cannula, invasive mechanical ventilation, continuous renal replacement therapy, extracorporeal membrane oxygenation, and be admitted to the intensive care unit. One patient with high BNP died during the study.Competing Interest StatementThe authors have declared no competing interest.Clinical TrialThis is a retrospective study without a registration numberFunding StatementnoneAuthor DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesAll data will be available when be requested","2020-01-01","2020-11-04 09:50:13","2020-11-04 09:50:13","","2020.03.31.20047142","","","","","","","","","","","","","","","","","","","","","","C:\Users\Louie Florendo Dy\Zotero\storage\26U694TJ\liu et al. - 2020 - Clinical features and outcomes of 2019 novel coron.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4NTQP5J","journalArticle","2020","McCullough, S. Andrew; Goyal, Parag; Krishnan, Udhay; Choi, Justin J.; Safford, Monika M.; Okin, Peter M.","Electrocardiographic Findings in Coronavirus Disease-19: Insights on Mortality and  Underlying Myocardial Processes.","Journal of cardiac failure","","1532-8414 1071-9164 1071-9164","10.1016/j.cardfail.2020.06.005","","BACKGROUND: Coronavirus disease 2019 (COVID-19) is a respiratory syndrome with high  rates of mortality, and there is a need for easily obtainable markers to provide  prognostic information. We sought to determine whether the electrocardiogram (ECG)  on hospital presentation provides prognostic information, specifically related to  death. METHODS AND RESULTS: We performed a retrospective cohort study in patients  with COVID-19 who had an ECG at or near hospital admission. Clinical characteristics  and ECG variables were manually abstracted from the electronic health record and  first ECG. Our primary outcome was death. THERE WERE: 756 patients who presented to  a large New York City teaching hospital with COVID-19 who underwent an ECG. The mean  age was 63.3 ± 16 years, 37% were women, 61% of patients were nonwhite, and 57% had  hypertension; 90 (11.9%) died. In a multivariable logistic regression that included  age, ECG, and clinical characteristics, the presence of one or more atrial premature  contractions (odds ratio [OR] 2.57, 95% confidence interval [CI] 1.23-5.36,  P = .01), a right bundle branch block or intraventricular block (OR 2.61, 95% CI  1.32-5.18, P = .002), ischemic T-wave inversion (OR 3.49, 95% CI 1.56-7.80,  P = .002), and nonspecific repolarization (OR 2.31, 95% CI 1.27-4.21, P = .006)  increased the odds of death. ST elevation was rare (n = 5 [0.7%]). CONCLUSIONS: We  found that patients with ECG findings of both left-sided heart disease (atrial  premature contractions, intraventricular block, repolarization abnormalities) and  right-sided disease (right bundle branch block) have higher odds of death. ST  elevation at presentation was rare.","2020-07","2020-11-04 09:50:13","2020-11-04 09:50:13","","626-632","","7","26","","J Card Fail","","","","","","","","eng","Copyright © 2020 Elsevier Inc. All rights reserved.","","","","","","PMID: 32544622  PMCID: PMC7293518","","C:\Users\Louie Florendo Dy\Zotero\storage\GK2C9MJJ\McCullough et al. - 2020 - Electrocardiographic Findings in Coronavirus Disea.pdf","","Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Pandemics; Retrospective Studies; Cohort Studies; *Betacoronavirus; *mortality; *COVID-19; *myocardial injury; Hospital Mortality/trends; *electrocardiography; Bundle-Branch Block/diagnosis/*mortality/physiopathology; Coronavirus Infections/diagnosis/*mortality/physiopathology; Electrocardiography/methods/*mortality; Heart Failure/diagnosis/*mortality/physiopathology; Pneumonia, Viral/diagnosis/*mortality/physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT9JGVK2","journalArticle","2020","Nie Shao-Fang; Yu Miao; Xie Tian; Yang Fen; Wang Hong-Bo; Wang Zhao-Hui; Li Ming; Gao Xing-Li; Lv Bing-Jie; Wang Shi-Jia; Zhang Xiao-Bo; He Shao-Lin; Qiu Zhi-Hua; Liao Yu-Hua; Zhou Zi-Hua; Cheng Xiang","Cardiac Troponin I Is an Independent Predictor for Mortality in Hospitalized Patients With COVID-19","Circulation","","","10.1161/CIRCULATIONAHA.120.048789","https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.120.048789","","2020-08-11","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:26:43","608-610","","6","142","","Circulation","","","","","","","","","","","","","ahajournals.org (Atypon)","","Publisher: American Heart Association","","C:\Users\Louie Florendo Dy\Zotero\storage\TLYPIHN5\Nie Shao-Fang et al. - 2020 - Cardiac Troponin I Is an Independent Predictor for.pdf; C:\Users\Louie Florendo Dy\Zotero\storage\5FTQPRRW\CIRCULATIONAHA.120.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKKK3BZX","journalArticle","2020","Pagnesi, Matteo; Baldetti, Luca; Beneduce, Alessandro; Calvo, Francesco; Gramegna, Mario; Pazzanese, Vittorio; Ingallina, Giacomo; Napolano, Antonio; Finazzi, Renato; Ruggeri, Annalisa; Ajello, Silvia; Melisurgo, Giulio; Camici, Paolo Guido; Scarpellini, Paolo; Tresoldi, Moreno; Landoni, Giovanni; Ciceri, Fabio; Scandroglio, Anna Mara; Agricola, Eustachio; Cappelletti, Alberto Maria","Pulmonary hypertension and right ventricular involvement in hospitalised patients  with COVID-19.","Heart (British Cardiac Society)","","1468-201X 1355-6037","10.1136/heartjnl-2020-317355","","OBJECTIVE: To assess the prevalence, characteristics and prognostic value of  pulmonary hypertension (PH) and right ventricular dysfunction (RVD) in hospitalised,  non-intensive care unit (ICU) patients with coronavirus disease 2019 (COVID-19).  METHODS: This single-centre, observational, cross-sectional study included 211  patients with COVID-19 admitted to non-ICU departments who underwent a single  transthoracic echocardiography (TTE). Patients with poor acoustic window (n=11) were  excluded. Clinical, imaging, laboratory and TTE findings were compared in patients  with versus without PH (estimated systolic pulmonary artery pressure >35 mm Hg) and  with versus without RVD (tricuspid annular plane systolic excursion <17 mm or S wave  <9.5 cm/s). The primary endpoint was in-hospital death or ICU admission. RESULTS: A  total of 200 patients were included in the final analysis (median age 62 (IQR 52-74)  years, 65.5% men). The prevalence of PH and RVD was 12.0% (24/200) and 14.5%  (29/200), respectively. Patients with PH were older and had a higher burden of  pre-existing cardiac comorbidities and signs of more severe severe acute respiratory  syndrome coronavirus 2 (SARS-CoV-2) infection (radiological lung involvement,  laboratory findings and oxygenation status) compared with those without PH.  Conversely, patients with RVD had a higher burden of pre-existing cardiac  comorbidities but no evidence of more severe SARS-CoV-2 infection compared with  those without RVD. The presence of PH was associated with a higher rate of  in-hospital death or ICU admission (41.7 vs 8.5%, p<0.001), while the presence of  RVD was not (17.2 vs 11.7%, p=0.404). CONCLUSIONS: Among hospitalised non-ICU  patients with COVID-19, PH (and not RVD) was associated with signs of more severe  COVID-19 and with worse in-hospital clinical outcome. TRIAL REGISTRATION NUMBER:  NCT04318366.","2020-09","2020-11-04 09:50:13","2020-11-04 09:50:13","","1324-1331","","17","106","","Heart","","","","","","","","eng","© Author(s) (or their employer(s)) 2020. No commercial re-use. See rights and  permissions. Published by BMJ.","","","","","","Place: England PMID: 32675217","","C:\Users\Louie Florendo Dy\Zotero\storage\X5TDTJCA\Pagnesi et al. - 2020 - Pulmonary hypertension and right ventricular invol.pdf","","Female; Humans; Male; Middle Aged; Comorbidity; *Pandemics; Hospitalization/statistics & numerical data; Severity of Illness Index; Italy/epidemiology; Prevalence; Correlation of Data; Betacoronavirus/*isolation & purification; Outcome Assessment, Health Care; *Coronavirus Infections/complications/diagnosis/epidemiology/physiopathology; *echocardiography; *Hypertension, Pulmonary/diagnosis/epidemiology/etiology; *Pneumonia, Viral/complications/diagnosis/epidemiology/physiopathology; *pulmonary vascular disease; *Ventricular Dysfunction, Right/diagnosis/epidemiology/etiology; Echocardiography/methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIJ97WX6","journalArticle","2020","Rath, Dominik; Petersen-Uribe, Álvaro; Avdiu, Alban; Witzel, Katja; Jaeger, Philippa; Zdanyte, Monika; Heinzmann, David; Tavlaki, Elli; Müller, Karin; Gawaz, Meinrad Paul","Impaired cardiac function is associated with mortality in patients with acute COVID-19 infection","Clinical Research in Cardiology","","1861-0692","10.1007/s00392-020-01683-0","https://doi.org/10.1007/s00392-020-01683-0","COVID-19 infection may cause severe respiratory distress and is associated with increased morbidity and mortality. Impaired cardiac function and/or pre-existing cardiovascular disease may be associated with poor prognosis. In the present study, we report a comprehensive cardiovascular characterization in the first consecutive collective of patients that was admitted and treated at the University Hospital of Tübingen, Germany.","2020-06-14","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:39:29","","","","","","Clin Res Cardiol","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Louie Florendo Dy\Zotero\storage\J47JAY4S\Rath et al. - 2020 - Impaired cardiac function is associated with morta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLBSCJPR","journalArticle","2020","Shi, Shaobo; Qin, Mu; Cai, Yuli; Liu, Tao; Shen, Bo; Yang, Fan; Cao, Sheng; Liu, Xu; Xiang, Yaozu; Zhao, Qinyan; Huang, He; Yang, Bo; Huang, Congxin","Characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019","European Heart Journal","","0195-668X","10.1093/eurheartj/ehaa408","https://academic.oup.com/eurheartj/article/41/22/2070/5835730","AbstractAims.  To investigate the characteristics and clinical significance of myocardial injury in patients with severe coronavirus disease 2019 (COVID-19).Met","2020-06-07","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:07:26","2070-2079","","22","41","","Eur Heart J","","","","","","","","en","","","","","academic.oup.com","","Publisher: Oxford Academic","","C:\Users\Louie Florendo Dy\Zotero\storage\YWVEMSPU\Shi et al. - 2020 - Characteristics and clinical significance of myoca.pdf; C:\Users\Louie Florendo Dy\Zotero\storage\TSLN85R9\5835730.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQDZLY8Z","journalArticle","2020","Szekely Yishay; Lichter Yael; Taieb Philippe; Banai Ariel; Hochstadt Aviram; Merdler Ilan; Gal Oz Amir; Rothschild Ehud; Baruch Guy; Peri Yogev; Arbel Yaron; Topilsky Yan","Spectrum of Cardiac Manifestations in COVID-19","Circulation","","","10.1161/CIRCULATIONAHA.120.047971","https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.120.047971","Background:Information on the cardiac manifestations of coronavirus disease 2019 (COVID-19) is scarce. We performed a systematic and comprehensive echocardiographic evaluation of consecutive patients hospitalized with COVID-19 infection.Methods:One hundred consecutive patients diagnosed with COVID-19 infection underwent complete echocardiographic evaluation within 24 hours of admission and were compared with reference values. Echocardiographic studies included left ventricular (LV) systolic and diastolic function and valve hemodynamics and right ventricular (RV) assessment, as well as lung ultrasound. A second examination was performed in case of clinical deterioration.Results:Thirty-two patients (32%) had a normal echocardiogram at baseline. The most common cardiac pathology was RV dilatation and dysfunction (observed in 39% of patients), followed by LV diastolic dysfunction (16%) and LV systolic dysfunction (10%). Patients with elevated troponin (20%) or worse clinical condition did not demonstrate any significant difference in LV systolic function compared with patients with normal troponin or better clinical condition, but they had worse RV function. Clinical deterioration occurred in 20% of patients. In these patients, the most common echocardiographic abnormality at follow-up was RV function deterioration (12 patients), followed by LV systolic and diastolic deterioration (in 5 patients). Femoral deep vein thrombosis was diagnosed in 5 of 12 patients with RV failure.Conclusions:In COVID-19 infection, LV systolic function is preserved in the majority of patients, but LV diastolic function and RV function are impaired. Elevated troponin and poorer clinical grade are associated with worse RV function. In patients presenting with clinical deterioration at follow-up, acute RV dysfunction, with or without deep vein thrombosis, is more common, but acute LV systolic dysfunction was noted in ≈20%.","2020-07-28","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:19:40","342-353","","4","142","","Circulation","","","","","","","","","","","","","ahajournals.org (Atypon)","","Publisher: American Heart Association","","C:\Users\Louie Florendo Dy\Zotero\storage\SPLXV6JA\Szekely Yishay et al. - 2020 - Spectrum of Cardiac Manifestations in COVID-19.pdf; C:\Users\Louie Florendo Dy\Zotero\storage\5LL5QI2K\CIRCULATIONAHA.120.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VG8C53I","journalArticle","2020","Xu Huayan; Hou Keke; Xu Rong; Li Zhenlin; Fu Hang; Wen Lingyi; Xie Linjun; Liu Hui; Selvanayagam Joseph B.; Zhang Na; Yang Zhigang; Yang Ming; Guo Yingkun","Clinical Characteristics and Risk Factors of Cardiac Involvement in COVID‐19","Journal of the American Heart Association","","","10.1161/JAHA.120.016807","https://www.ahajournals.org/doi/full/10.1161/JAHA.120.016807","BackgroundIncreasing studies demonstrated that the cardiac involvements are related to coronavirus disease 2019 (COVID‐19). Thus, we investigated the clinical characteristics of patients with COVID‐19 and further determined the risk factors for cardiac involvement in them.Methods and ResultsWe analyzed data from 102 consecutive laboratory‐confirmed and hospitalized patients with COVID‐19 (52 women aged 19–87 years). Epidemiologic and demographic characteristics, clinical features, routine laboratory tests (including cardiac injury biomarkers), echocardiography, electrocardiography, chest imaging findings, management methods, and clinical outcomes were collected. Patients were divided into acute cardiac injury, with and without cardiac marker abnormities groups according to different level of cardiac markers. In this research, cardiac involvement was found in 72 of the 102 (70.6%) patients: tachycardia (n=20), electrocardiography abnormalities (n=23), echocardiography abnormalities (n=59), elevated myocardial enzymes (n=55), and acute cardiac injury (n=9). Eight patients with acute cardiac injury were aged >60 years; seven of them had ≥2 underlying comorbidities (hypertension, diabetes mellitus, cardiovascular diseases, chronic obstructive pulmonary disease, and chronic kidney disease). Novel coronavirus pneumonia was much more severe in the patients with acute cardiac injury than in patients with nondefinite acute cardiac injury (P<0.001). Multivariate analyses showed that CRP (C‐reactive protein) levels, old age, novel coronavirus pneumonia severity, and underlying comorbidities were the risk factors for cardiac abnormalities in patients with COVID‐19.ConclusionsCardiac involvements are common in patients with COVID‐19. Elevated CRP levels, old age, underlying comorbidities, and novel coronavirus pneumonia severity are the main risk factors for cardiac involvement in patients with COVID‐19. More attention should be given to cardiovascular protection during COVID‐19 treatment for mortality reduction.RegistrationURL: https://www.chictr.org; Unique identifier: ChiCTR2000029955.","2020-09-15","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:02:54","e016807","","18","9","","Journal of the American Heart Association","","","","","","","","","","","","","ahajournals.org (Atypon)","","Publisher: American Heart Association","","C:\Users\Louie Florendo Dy\Zotero\storage\XGFQ7DM5\Xu Huayan et al. - 2020 - Clinical Characteristics and Risk Factors of Cardi.pdf; C:\Users\Louie Florendo Dy\Zotero\storage\KUG9FSJT\JAHA.120.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BT6NX84R","journalArticle","2020","Xw, He; Js, Lai; J, Cheng; Mw, Wang; Yj, Liu; Zc, Xiao; C, Xu; Ss, Li; Hs, Zeng","[Impact of complicated myocardial injury on the clinical outcome of severe or critically ill COVID-19 patients].","Zhonghua xin xue Guan Bing za zhi","","0253-3758","10.3760/cma.j.cn112148-20200228-00137","https://europepmc.org/article/med/32171190","Europe PMC is an archive of life sciences journal literature., [Impact of complicated myocardial injury on the clinical outcome of severe or critically ill COVID-19 patients].","2020-06-01","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:39:49","456-460","","6","48","","Zhonghua Xin Xue Guan Bing Za Zhi","","","","","","","","English","","","","","europepmc.org","","PMID: 32171190","","C:\Users\Louie Florendo Dy\Zotero\storage\K99UIZKA\Xw et al. - 2020 - [Impact of complicated myocardial injury on the cl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR5YVHEZ","journalArticle","2020","Zhang, Jianguo; Ding, Daoyin; Cao, Can; Zhang, Jinhui; Huang, Xing; Fu, Peiwen; Liang, Guoxin; Xu, Wenrong; Tao, Zhimin","Myocardial characteristics as the prognosis for COVID-19 patients","medRxiv","","","10.1101/2020.05.06.20068882","https://www.medrxiv.org/content/10.1101/2020.05.06.20068882v1","<p>Background Amid the crisis of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), front-line clinicians in collaboration with backstage medical researchers analyzed clinical characteristics of COVID-19 patients and reported the prognosis using myocardial data records upon hospitalization. Methods We reported 135 cases of laboratory-confirmed COVID-19 patients admitted in The First People9s Hospital of Jiangxia District in Wuhan, China. Demographic data, medical history, and laboratory parameters were taken from inpatient records and compared between patients at the Intensive Care Unit (ICU) and non-ICU isolation wards for prognosis on disease severity. In particular, survivors and non-survivors upon ICU admission were compared for prognosis on disease mortality. Results For COVID-19 patients, blood test results showed more significantly deranged values in the ICU group than those in non-ICU. Among those parameters for ICU patients, myocardial variables including troponin T, creatine kinase isoenzymes, myoglobin, were found significantly higher in non-survivors than in survivors. Conclusions Upon hospitalization abnormal myocardial metabolism in COVID-19 patients could be prognostic indicators of a worsened outcome for disease severity and mortality.</p>","2020-05-09","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-26 10:56:04","2020.05.06.20068882","","","","","","","","","","","","","en","© 2020, Posted by Cold Spring Harbor Laboratory. The copyright holder for this pre-print is the author. All rights reserved. The material may not be redistributed, re-used or adapted without the author's permission.","","","","www.medrxiv.org","","Publisher: Cold Spring Harbor Laboratory Press","","C:\Users\Louie Florendo Dy\Zotero\storage\Y4IQJL2F\Zhang et al. - 2020 - Myocardial characteristics as the prognosis for CO.pdf; C:\Users\Louie Florendo Dy\Zotero\storage\WRSXSH83\2020.05.06.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5YJGW9W","journalArticle","2020","Zhou, Fei; Yu, Ting; Du, Ronghui; Fan, Guohui; Liu, Ying; Liu, Zhibo; Xiang, Jie; Wang, Yeming; Song, Bin; Gu, Xiaoying; Guan, Lulu; Wei, Yuan; Li, Hui; Wu, Xudong; Xu, Jiuyang; Tu, Shengjin; Zhang, Yi; Chen, Hua; Cao, Bin","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","The Lancet","","0140-6736","10.1016/S0140-6736(20)30566-3","http://www.sciencedirect.com/science/article/pii/S0140673620305663","Background Since December, 2019, Wuhan, China, has experienced an outbreak of coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Epidemiological and clinical characteristics of patients with COVID-19 have been reported but risk factors for mortality and a detailed clinical course of illness, including viral shedding, have not been well described. Methods In this retrospective, multicentre cohort study, we included all adult inpatients (≥18 years old) with laboratory-confirmed COVID-19 from Jinyintan Hospital and Wuhan Pulmonary Hospital (Wuhan, China) who had been discharged or had died by Jan 31, 2020. Demographic, clinical, treatment, and laboratory data, including serial samples for viral RNA detection, were extracted from electronic medical records and compared between survivors and non-survivors. We used univariable and multivariable logistic regression methods to explore the risk factors associated with in-hospital death. Findings 191 patients (135 from Jinyintan Hospital and 56 from Wuhan Pulmonary Hospital) were included in this study, of whom 137 were discharged and 54 died in hospital. 91 (48%) patients had a comorbidity, with hypertension being the most common (58 [30%] patients), followed by diabetes (36 [19%] patients) and coronary heart disease (15 [8%] patients). Multivariable regression showed increasing odds of in-hospital death associated with older age (odds ratio 1·10, 95% CI 1·03–1·17, per year increase; p=0·0043), higher Sequential Organ Failure Assessment (SOFA) score (5·65, 2·61–12·23; p<0·0001), and d-dimer greater than 1 μg/mL (18·42, 2·64–128·55; p=0·0033) on admission. Median duration of viral shedding was 20·0 days (IQR 17·0–24·0) in survivors, but SARS-CoV-2 was detectable until death in non-survivors. The longest observed duration of viral shedding in survivors was 37 days. Interpretation The potential risk factors of older age, high SOFA score, and d-dimer greater than 1 μg/mL could help clinicians to identify patients with poor prognosis at an early stage. Prolonged viral shedding provides the rationale for a strategy of isolation of infected patients and optimal antiviral interventions in the future. Funding Chinese Academy of Medical Sciences Innovation Fund for Medical Sciences; National Science Grant for Distinguished Young Scholars; National Key Research and Development Program of China; The Beijing Science and Technology Project; and Major Projects of National Science and Technology on New Drug Creation and Development.","2020-03-28","2020-11-04 09:50:13","2020-11-04 09:50:13","2020-09-27 09:34:16","1054-1062","","10229","395","","The Lancet","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\Louie Florendo Dy\Zotero\storage\YTXS5TKH\S0140673620305663.html; C:\Users\Louie Florendo Dy\Zotero\storage\3FUF8MJ6\Zhou et al. - 2020 - Clinical course and risk factors for mortality of .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPINYNJ9","journalArticle","2020","Zou, Xiaojing; Li, Shusheng; Fang, Minghao; Hu, Ming; Bian, Yi; Ling, Jianmin; Yu, Shanshan; Jing, Liang; Li, Donghui; Huang, Jiao","Acute Physiology and Chronic Health Evaluation II Score as a Predictor of Hospital  Mortality in Patients of Coronavirus Disease 2019.","Critical care medicine","","1530-0293 0090-3493 0090-3493","10.1097/CCM.0000000000004411","","OBJECTIVES: Coronavirus disease 2019 has emerged as a major global health threat  with a great number of deaths in China. We aimed to assess the association between  Acute Physiology and Chronic Health Evaluation II score and hospital mortality in  patients with coronavirus disease 2019, and to compare the predictive ability of  Acute Physiology and Chronic Health Evaluation II score, with Sequential Organ  Failure Assessment score and Confusion, Urea, Respiratory rate, Blood pressure, Age  65 (CURB65) score. DESIGN: Retrospective observational cohort. SETTING: Tongji  Hospital in Wuhan, China. SUBJECTS: Confirmed patients with coronavirus disease 2019  hospitalized in the ICU of Tongji hospital from January 10, 2020, to February 10,  2020. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: Of 178 potentially  eligible patients with symptoms of coronavirus disease 2019, 23 patients (12.92%)  were diagnosed as suspected cases, and one patient (0.56%) suffered from cardiac  arrest immediately after admission. Ultimately, 154 patients were enrolled in the  analysis and 52 patients (33.77%) died. Mean Acute Physiology and Chronic Health  Evaluation II score (23.23 ± 6.05) was much higher in deaths compared with the mean  Acute Physiology and Chronic Health Evaluation II score of 10.87 ± 4.40 in survivors  (p < 0.001). Acute Physiology and Chronic Health Evaluation II score was  independently associated with hospital mortality (adjusted hazard ratio, 1.07; 95%  CI, 1.01-1.13). In predicting hospital mortality, Acute Physiology and Chronic  Health Evaluation II score demonstrated better discriminative ability (area under  the curve, 0.966; 95% CI, 0.942-0.990) than Sequential Organ Failure Assessment  score (area under the curve, 0.867; 95% CI, 0.808-0.926) and CURB65 score (area  under the curve, 0.844; 95% CI, 0.784-0.905). Based on the cut-off value of 17,  Acute Physiology and Chronic Health Evaluation II score could predict the death of  patients with coronavirus disease 2019 with a sensitivity of 96.15% and a  specificity of 86.27%. Kaplan-Meier analysis showed that the survivor probability of  patients with coronavirus disease 2019 with Acute Physiology and Chronic Health  Evaluation II score less than 17 was notably higher than that of patients with Acute  Physiology and Chronic Health Evaluation II score greater than or equal to 17 (p <  0.001). CONCLUSIONS: Acute Physiology and Chronic Health Evaluation II score was an  effective clinical tool to predict hospital mortality in patients with coronavirus  disease 2019 compared with Sequential Organ Failure Assessment score and CURB65  score. Acute Physiology and Chronic Health Evaluation II score greater than or equal  to 17 serves as an early warning indicator of death and may provide guidance to make  further clinical decisions.","2020-08","2020-11-04 09:50:13","2020-11-04 09:50:13","","e657-e665","","8","48","","Crit Care Med","","","","","","","","eng","","","","","","","PMID: 32697506  PMCID: PMC7217128","","C:\Users\Louie Florendo Dy\Zotero\storage\AH99JDHT\Zou et al. - 2020 - Acute Physiology and Chronic Health Evaluation II .pdf","","Adult; Aged; China/epidemiology; Female; Humans; Intensive Care Units/statistics & numerical data; Male; Middle Aged; Pandemics; Retrospective Studies; *Hospital Mortality; Predictive Value of Tests; Hospitalization/statistics & numerical data; Logistic Models; Proportional Hazards Models; *Cause of Death; ROC Curve; Causality; Coronavirus Infections/*diagnosis/*epidemiology/therapy; Pneumonia, Viral/*diagnosis/*epidemiology/therapy; Organ Dysfunction Scores; Hospitals, Urban; APACHE; Severe Acute Respiratory Syndrome/diagnosis/*mortality/therapy; Survivors/statistics & numerical data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
